,paper,year,month,title,author,code,prog
5000,5004,1995,February,Spatial Productivity Spillovers from Public Infrastructure: Evidence from State Highways,"['Amy Ellen Schwartz', 'Douglas Holtz-Eakin']",w05004,['Public Economics']
5001,5005,1995,February,Common Interests or Common Polities? Reinterpreting the Democratic Peace,"['Henry S Farber', 'Joanne Gowa']",w05005,['Labor Studies']
5002,5006,1995,February,A Panel Project on Purchasing Power Parity: Mean Reversion Within and Between Countries,"['Andrew K Rose', 'Jeffrey A Frankel']",w05006,['International Finance and Macroeconomics']
5003,5007,1995,February,"Holdups, Standard Breach Remedies, and Optimal Investment","['Aaron S Edlin', 'Stefan Reichelstein']",w05007,['Law and Economics']
5004,5008,1995,February,Regional Cost-of-Living Adjustments in Tax-Transfer Schemes,['Louis Kaplow'],w05008,['Public Economics']
5005,5009,1995,February,Tax Projections and the Budget: Lessons from the 1980s,['Alan J Auerbach'],w05009,['Public Economics']
5006,5010,1995,February,Differential Information and Dynamic Behavior of Stock Trading Volume,"['Hua He', 'Jiang W Wang']",w05010,['Asset Pricing']
5007,5011,1995,February,Do Firms Smooth the Seasonal in Production in a Boom? Theory and Evidence,"['Anil K Kashyap', 'David W Wilcox', 'Stephen G Cecchetti']",w05011,"['Economic Fluctuations and Growth', 'Monetary Economics']"
5008,5012,1995,February,"Price, Tobacco Control Policies and Smoking Among Young Adults","['Frank J Chaloupka, IV', 'Henry Wechsler']",w05012,['Health Economics']
5009,5013,1995,February,Economic Growth in a Cross-Section of Cities,"['Andrei Shleifer', 'Edward L Glaeser', 'Jose A Scheinkman']",w05013,['Economic Fluctuations and Growth']
5010,5014,1995,February,Are Lifetime Jobs Disappearing? Job Duration in the United States: 1973-1993,['Henry S Farber'],w05014,['Labor Studies']
5011,5015,1995,February,The Deficit Gamble,"['Douglas W Elmendorf', 'Laurence M Ball', 'N Gregory Mankiw']",w05015,['Economic Fluctuations and Growth']
5012,5016,1995,February,Measuring Aggregate Human Capital,"['Casey B Mulligan', 'Xavier X Sala-i-Martin']",w05016,['Economic Fluctuations and Growth']
5013,5017,1995,February,The Illusion of Failure: Trends in the Self-Reported Health of the U.S. Elderly,"['John Bound', 'Michael Schoenbaum', 'Timothy Waidmann']",w05017,"['Economics of Aging', 'Health Care', 'Health Economics']"
