paper,year,month,title,author
1,1973,June,"Education, Information, and Efficiency",['Finis Welch']
2,1973,June,"Hospital Utilization: An Analysis of SMSA Differences in Hospital Admission Rates, Occupancy Rates and Bed Rates",['Barry R Chiswick']
3,1973,June,Error Components Regression Models and Their Applications,['Swarnjit S Arora']
4,1973,July,Human Capital Life Cycle of Earnings Models: A Specific Solution and Estimation,['Lee A Lillard']
5,1973,July,A Life Cycle Family Model,['James P Smith']
6,1973,July,A Review of Cyclical Indicators for the United States: Preliminary Results,['Victor Zarnowitz']
7,1973,August,The Definition and Impact of College Quality,['Lewis C Solmon']
8,1973,September,Multinational Firms and the Factor Intensity of Trade,"['Merle Yahr Weiss', 'Robert E Lipsey']"
9,1973,September,From Age-Earnings Profiles to the Distribution of Earnings and Human Wealth,['Lee A Lillard']
10,1973,September,Monte Carlo for Robust Regression: The Swindle Unmasked,['Paul W Holland']
11,1973,September,Weighted Ridge Regression: Combining Ridge and Robust Regression Methods,['Paul W Holland']
12,1973,October,Citizen Rights and the Cost of Law Enforcement,['Melvin Reder']
13,1973,October,Wage Comparisons -A Selectivity Bias,['Reuben Gronau']
14,1973,October,The Effects on Income of Type of College Attended,"['Lewis C Solmon', 'Paul Wachtel']"
15,1973,October,A Comparison of FIML and Robust Estimates of a Nonlinear Macroeconomic Model,['Ray C* Fair']
16,1973,November,Monte Carlo Techniques in Studying Robust Estimators,['David C Hoaglin']
17,1973,November,"Schooling, Ability, Non Pecuniary Rewards, Socioeconomic Background and the Lifetime Distribution of Earnings",['Paul J Taubman']
18,1973,November,The Deterrent Effect of Capital Punishment: A Question of Life and Death,['Isaac Ehrlich']
19,1973,December,Utilization of Surgical Manpower in A Prepaid Group Practice,"['Edward F X Hughes', 'Eugene M Lewit', 'Richard Handschin', 'Richard N Watkins']"
20,1973,December,Short-Run and Long-Run Prospects for Female Earnings,['Victor R Fuchs']
21,1973,December,Contraception and Fertility: Household Production Under Uncertainty,"['Robert J Willis', 'Robert T Michael']"
22,1973,December,The Correlation Between Health and Schooling,['Michael Grossman']
23,1973,December,What Happened During the Baby Boom? New Estimates of Age and Parity: Specific Birth Probabilities for American Women,['Warren C Sanderson']
24,1973,December,Optimal Adaptive Control Methods for Structurally Varying Systems,"['Alexander H Sarris', 'Michael Athans']"
25,1973,December,The Covariance Structure of Earnings and the On the Job Training Hypothesis,['John C Hause']
26,1974,January,Migration Flows and Their Determinants: A Comparative Study of Internal Migration in Italy and the U.S.A.,['Swarnjit S Arora']
