,paper,year,month,title,author,code,prog
10000,10012,2003,October,Effects of Disease Type and Latency on the Value of Mortality Risk,"['James K Hammitt', 'Jin-Tan Liu']",w10012,['Health Economics']
10001,10013,2003,October,Simple Forecasts and Paradigm Shifts,"['Harrison Hong', 'Jeremy C Stein']",w10013,['Asset Pricing']
10002,10014,2003,October,Did Unilateral Divorce Laws Raise Divorce Rates? A Reconciliation and New Results,['Justin Wolfers'],w10014,"['Labor Studies', 'Law and Economics']"
10003,10015,2003,October,Addicted to Dollars,"['Carmen M Reinhart', 'Kenneth S Rogoff', 'Miguel A Savastano']",w10015,['International Finance and Macroeconomics']
10004,10016,2003,October,On the Sluggish Response of Prices to Money in an Inventory-Theoretic Model of Money Demand,"['Andrew G Atkeson', 'Chris Edmond', 'Fernando E Alvarez']",w10016,['Monetary Economics']
10005,10017,2003,October,Selection and Improvement: Physician Responses to Financial Incentives,"['Jason R Barro', 'Nancy Beaulieu']",w10017,['Health Economics']
10006,10018,2003,October,Country Spreads and Emerging Countries: Who Drives Whom?,"['Martin Uribe', 'Vivian Z Yue']",w10018,"['Economic Fluctuations and Growth', 'International Finance and Macroeconomics']"
10007,10019,2003,October,Inflation Targeting in Emerging Market Economies,"['Andre Minella', 'Arminio Fraga', 'Ilan Goldfajn']",w10019,"['International Finance and Macroeconomics', 'Monetary Economics']"
10008,10020,2003,October,Exporting Raises Productivity in Sub-Saharan African Manufacturing Plants,['Johannes Van Biesebroeck'],w10020,"['Productivity, Innovation, and Entrepreneurship']"
10009,10021,2003,October,Homeownership and Unemployment: The Roles of Leverage and Public Housing,"['Matt Forbes', 'Patric H Hendershott', 'Paul Flatau']",w10021,['Labor Studies']
10010,10022,2003,October,Quality-Constant Price Indexes for the Ongoing Treatment of Schizophrenia: An Exploratory Study,"['Alisa B Busch', 'Ernst R Berndt', 'Richard G Frank']",w10022,['Health Care']
10011,10023,2003,October,"Fiscal Policy, Past and Present",['Alan J Auerbach'],w10023,"['Economic Fluctuations and Growth', 'Public Economics']"
