,paper,year,month,title,author,code,prog
12000,12012,2006,February,State Casket Sales and Restrictions: A Pointless Undertaking?,"['Fiona M Scott Morton', 'Judith A Chevalier']",w12012,['Industrial Organization']
12001,12013,2006,February,Estimating Static Models of Strategic Interaction,"['Denis Nekipelov', 'Han Hong', 'John Krainer', 'Patrick Bajari']",w12013,['Industrial Organization']
12002,12014,2006,February,Optimal Market Timing,"['Dmitry Livdan', 'Erica X N Li', 'Lu Zhang']",w12014,['Asset Pricing']
12003,12015,2006,February,Do Hot Hands Exist Among Hedge Fund Managers? An Empirical Evaluation,"['Alexey Malakhov', 'Dmitry Novikov', 'Ravi Jagannathan']",w12015,['Asset Pricing']
12004,12016,2006,February,Surplus Appropriation from R&D and Health Care Technology Assessment Procedures,"['Anupam B Jena', 'Tomas J Philipson']",w12016,"['Health Care', 'Industrial Organization']"
12005,12017,2006,February,Optimal Value and Growth Tilts in Long-Horizon Portfolios,"['Jakub W Jurek', 'Luis M Viceira']",w12017,['Asset Pricing']
12006,12018,2006,February,Bias Corrected Estimates of GED Returns,"['James J Heckman', 'Paul A LaFontaine']",w12018,"['Children', 'Economics of Education', 'Labor Studies', 'Public Economics']"
12007,12019,2006,February,Ugly Criminals,"['Erdal Tekin', 'Naci H Mocan']",w12019,"['Children', 'Health Economics', 'Labor Studies']"
12008,12020,2006,February,Valuation in Over-the-Counter Markets,"['Darrell Duffie', 'Lasse Heje Pedersen', 'Nicolae B Garleanu']",w12020,['Asset Pricing']
12009,12021,2006,February,Does Television Rot Your Brain? New Evidence from the Coleman Study,"['Jesse M Shapiro', 'Matthew Gentzkow']",w12021,"['Children', 'Economics of Education', 'Labor Studies']"
12010,12022,2006,February,The Time Varying Volatility of Macroeconomic Fluctuations,"['Alejandro Justiniano', 'Giorgio E Primiceri']",w12022,"['Economic Fluctuations and Growth', 'Monetary Economics']"
12011,12023,2006,February,"India's Patterns of Development: What Happened, What Follows","['Arvind Subramanian', 'Kalpana Kochhar', 'Raghuram G Rajan', 'Utsav Kumar']",w12023,"['Economic Fluctuations and Growth', 'International Finance and Macroeconomics']"
12012,12024,2006,February,Pervasive Stickiness (Expanded Version),"['N Gregory Mankiw', 'Ricardo Reis']",w12024,"['Economic Fluctuations and Growth', 'Monetary Economics']"
12013,12025,2006,February,Geographic Spillover of Unionism,['Thomas J Holmes'],w12025,['Labor Studies']
12014,12026,2006,February,The Dog That Did Not Bark: A Defense of Return Predictability,['John H Cochrane'],w12026,['Asset Pricing']
12015,12027,2006,February,The Effects of Entry on Incumbent Innovation and Productivity,"['Peter Howitt', 'Philippe Aghion', 'Rachel Griffith', 'Richard Blundell', 'Susanne Prantl']",w12027,"['Economic Fluctuations and Growth', 'Industrial Organization', 'Productivity, Innovation, and Entrepreneurship']"
12016,12028,2006,February,Durable Goods and Conformity,"['Christopher L House', 'Emre Ozdenoren']",w12028,['Industrial Organization']
12017,12029,2006,February,Cost Should Be No Barrier: An Evaluation of the First Year of Harvard's Financial Aid Initiative,"['C Kirabo Jackson', 'Caroline Minter Hoxby', 'Christopher Avery', 'Glenn Pope', 'Kaitlin Burek', 'Mridula Raman']",w12029,['Economics of Education']
12018,12030,2006,February,Down or Out: Assessing the Welfare Costs of Household Investment Mistakes,"['John Y Campbell', 'Laurent-Emmanuel Calvet', 'Paolo Sodini']",w12030,"['Asset Pricing', 'Economic Fluctuations and Growth']"
12019,12031,2006,February,The Unequal Effects of Liberalization: Evidence from Dismantling the License Raj in India,"['Fabrizio Zilibotti', 'Philippe Aghion', 'Robin Burgess', 'Stephen J Redding']",w12031,['Economic Fluctuations and Growth']
12020,12032,2006,February,"Turbulent Firms, Turbulent Wages?","['Bess Rabin', 'Diego A Comin', 'Erica L Groshen']",w12032,"['Economic Fluctuations and Growth', 'Labor Studies']"
12021,12033,2006,February,Optimal Tariffs: The Evidence,"['Christian Broda', 'David E Weinstein', 'Nuno Limao']",w12033,['International Trade and Investment']
12022,12034,2006,February,And Now for Something Completely Different: The Versatility of Conceptual Innovators,['David W Galenson'],w12034,['Labor Studies']
12023,12035,2006,February,Legal-Political Factors and the Historical Evolution of the Finance-Growth Link,"['Michael D Bordo', 'Peter L Rousseau']",w12035,"['Development of the American Economy', 'Economic Fluctuations and Growth', 'Law and Economics']"
12024,12036,2006,February,"Housing, Consumption, and Asset Pricing","['Martin Schneider', 'Monika Piazzesi', 'Selale Tuzel']",w12036,"['Asset Pricing', 'Economic Fluctuations and Growth', 'Monetary Economics']"
12025,12037,2006,February,Special Interest Groups and the Allocation of Public Funds,['Monica Singhal'],w12037,['Public Economics']
12026,12038,2006,February,"Economic Transformation, Population Growth and the Long-Run World Income Distribution","['Marcos Chamon', 'Michael R Kremer']",w12038,"['Economic Fluctuations and Growth', 'Labor Studies']"
12027,12039,2006,February,PublicationHarvester: An Open-Source Software Tool for Science Policy Research,"['Andrew Stellman', 'Joshua S Graff Zivin', 'Pierre Azoulay']",w12039,"['Health Care', 'Health Economics']"
12028,12040,2006,February,How Do the Better Educated Do It? Socioeconomic Status and the Ability to Cope with Underlying Impairment,"['David M Cutler', 'Kate A Stewart', 'Mary Beth Landrum']",w12040,"['Economics of Aging', 'Health Care']"
12029,12041,2006,February,"Sorting, Prices, and Social Preferences","['Edward P Lazear', 'Roberto Weber', 'Ulrike Malmendier']",w12041,"['Labor Studies', 'Public Economics']"
12030,12042,2006,February,Investment Under Uncertainty and Time-Inconsistent Preferences,"['Neng Wang', 'Steven R Grenadier']",w12042,['Asset Pricing']
12031,12043,2006,February,"Urban Poverty, School Attendance, and Adolescent Labor Force Attachment: Some Historical Evidence",['Howard Bodenhorn'],w12043,"['Development of the American Economy', 'Children', 'International Trade and Investment']"
12032,12044,2006,February,Offshore Financial Centers: Parasites or Symbionts?,"['Andrew K Rose', 'Mark M Spiegel']",w12044,"['International Finance and Macroeconomics', 'Monetary Economics', 'Productivity, Innovation, and Entrepreneurship']"
12033,12045,2006,February,"Exports and Slow Economic Growth in the Lower South Region, 1720-1800","['Joshua L Rosenbloom', 'Peter C Mancall', 'Thomas J Weiss']",w12045,['Development of the American Economy']
