,paper,year,month,title,author,code,prog
15000,15014,2009,May,Understanding Inflation-Indexed Bond Markets,"['John Y Campbell', 'Luis M Viceira', 'Robert J Shiller']",w15014,"['Asset Pricing', 'International Finance and Macroeconomics', 'Monetary Economics']"
15001,15015,2009,May,"News, Noise, and Fluctuations: An Empirical Exploration","['Guido Lorenzoni', ""Jean-Paul L'Huillier"", 'Olivier Jean Blanchard']",w15015,"['Economic Fluctuations and Growth', 'Monetary Economics']"
15002,15016,2009,May,Was there Really a Hawthorne Effect at the Hawthorne Plant? An Analysis of the Original Illumination Experiments,"['John A List', 'Steven D Levitt']",w15016,"['Development of the American Economy', 'Industrial Organization', 'Labor Studies']"
15003,15017,2009,May,Environmental Liability and Redevelopment of Old Industrial Land,['Hilary Sigman'],w15017,"['Environment and Energy Economics', 'Law and Economics', 'Public Economics']"
15004,15018,2009,May,Financial Crisis and the Paradox of Under- and Over-Regulation,['Joshua Aizenman'],w15018,"['International Finance and Macroeconomics', 'International Trade and Investment']"
15005,15019,2009,May,A Dynamic Model of Price Discrimination and Inventory Management at the Fulton Fish Market,"['George J Hall', 'Kathryn Graddy']",w15019,['Industrial Organization']
15006,15020,2009,May,Effects of Japanese Macroeconomic Announcements on the Dollar/Yen Exchange Rate: High-Resolution Picture,"['Takatoshi Ito', 'Yuko Hashimoto']",w15020,"['International Finance and Macroeconomics', 'Monetary Economics']"
15007,15021,2009,May,Fiscal Policy Can Reduce Unemployment: But There is a Less Costly and More Effective Alternative,['Roger E A Farmer'],w15021,['Economic Fluctuations and Growth']
15008,15022,2009,June,Designing Climate Mitigation Policy,"['Alan J Krupnick', 'Ian W H Parry', 'Joseph E Aldy', 'Richard G Newell', 'William A Pizer']",w15022,['Environment and Energy Economics']
15009,15023,2009,June,"Watch What I Do, Not What I Say: The Unintended Consequences of the Homeland Investment Act","['C Fritz Foley', 'Dhammika Dharmapala', 'Kristin J Forbes']",w15023,"['Corporate Finance', 'International Finance and Macroeconomics', 'International Trade and Investment', 'Public Economics']"
15010,15024,2009,June,"Inflation and the Stock Market:Understanding the ""Fed Model""","['Eric C Engstrom', 'Geert Bekaert']",w15024,['Asset Pricing']
15011,15025,2009,June,"Debt, Deficits and Finite Horizons: The Stochastic Case","['Alain Venditti', 'Carine Nourry', 'Roger E A Farmer']",w15025,['Economic Fluctuations and Growth']
15012,15026,2009,June,Computing DSGE Models with Recursive Preferences,"['Dario Caldara', 'Jesus Fernandez-Villaverde', 'Juan F Rubio-Ramirez', 'Wen Yao']",w15026,['Economic Fluctuations and Growth']
15013,15027,2009,June,Direct and Indirect Effects of Teenage Body Weight on Adult Wages,"['Edward C Norton', 'Euna Han', 'Lisa M Powell']",w15027,['Health Economics']
15014,15028,2009,June,"Land Policy: Founding Choices and Outcomes, 1781-1802",['Farley Grubb'],w15028,['Development of the American Economy']
15015,15029,2009,June,Technology Innovation and Diffusion as Sources of Output and Asset Price Fluctuations,"['Ana Maria Santacreu', 'Diego A Comin', 'Mark L Gertler']",w15029,"['Asset Pricing', 'Economic Fluctuations and Growth', 'Monetary Economics', 'Productivity, Innovation, and Entrepreneurship']"
15016,15030,2009,June,Comparative Advantage and Unemployment,"['Mark Bils', 'Sun-Bin Kim', 'Yongsung Chang']",w15030,['Economic Fluctuations and Growth']
15017,15031,2009,June,Energy Efficiency Economics and Policy,"['Karen Palmer', 'Kenneth Gillingham', 'Richard G Newell']",w15031,['Environment and Energy Economics']
15018,15032,2009,June,Endogenous Cost-Effectiveness Analysis in Health Care Technology Adoption,"['Anupam B Jena', 'Tomas J Philipson']",w15032,"['Economics of Aging', 'Health Care', 'Health Economics']"
15019,15033,2009,June,Wage Dispersion in the Search and Matching Model with Intra-Firm Bargaining,['Dale T Mortensen'],w15033,['Economic Fluctuations and Growth']
15020,15034,2009,June,"What Lies Beneath the Euro's Effect on Financial Integration: Currency Risk, Legal Harmonization, or Trade?","['Elias Papaioannou', 'Jose Luis Peydro', 'Sebnem Kalemli-Ozcan']",w15034,"['Economic Fluctuations and Growth', 'International Finance and Macroeconomics', 'International Trade and Investment']"
15021,15035,2009,June,Co-optimization of Enhanced Oil Recovery and Carbon Sequestration,"['Andrew Leach', 'Charles F Mason', ""Klaas van 't Veld""]",w15035,['Environment and Energy Economics']
15022,15036,2009,June,Why Do Skilled Immigrants Struggle in the Labor Market? A Field Experiment with Six Thousand Resumes,['Philip Oreopoulos'],w15036,['Labor Studies']
15023,15037,2009,June,The ABCs of Charitable Solicitation,"['Harvey S Rosen', 'Jonathan Meer']",w15037,"['Economics of Education', 'Public Economics']"
15024,15038,2009,June,Is Investor Rationality Time Varying? Evidence from the Mutual Fund Industry,"['Burton Hollifield', 'Marcin Kacperczyk', 'Shimon Kogan', 'Vincent Glode']",w15038,"['Asset Pricing', 'Corporate Finance']"
15025,15039,2009,June,Physical Activity: Economic and Policy Factors,"['Judith A Shinogle', 'Melayne M McInnes']",w15039,['Health Economics']
15026,15040,2009,June,Amplification Mechanisms in Liquidity Crises,['Arvind Krishnamurthy'],w15040,"['Asset Pricing', 'Corporate Finance', 'Monetary Economics']"
15027,15041,2009,June,Why Do Mothers Breastfeed Girls Less Than Boys? Evidence and Implications for Child Health in India,"['Ilyana Kuziemko', 'Seema Jayachandran']",w15041,"['Children', 'Health Care', 'Health Economics']"
15028,15042,2009,June,Never Waste a Good Crisis: An Historical Perspective on Comparative Corporate Governance,"['Bernard Yeung', 'Randall K Morck']",w15042,['Corporate Finance']
15029,15043,2009,June,Can a Focus on Breakthrough Technologies Improve the Performance of International Environmental Agreements?,"['Aart de Zeeuw', 'Michael Hoel']",w15043,['Environment and Energy Economics']
15030,15044,2009,June,Firm Heterogeneity and the Long-run Effects of Dividend Tax Reform,"['Francois Gourio', 'Jianjun Miao']",w15044,"['Corporate Finance', 'Economic Fluctuations and Growth', 'Public Economics']"
15031,15045,2009,June,The Credit Rating Crisis,"['Efraim Benmelech', 'Jennifer Dlugosz']",w15045,"['Asset Pricing', 'Corporate Finance', 'Law and Economics', 'Monetary Economics']"
15032,15046,2009,June,Economic Contextual Factors and Child Body Mass Index,"['Frank J Chaloupka, IV', 'Lisa M Powell']",w15046,['Health Economics']
15033,15047,2009,June,Pricing Model Performance and the Two-Pass Cross-Sectional Regression Methodology,"['Cesare Robotti', 'Jay Shanken', 'Raymond Kan']",w15047,['Asset Pricing']
15034,15048,2009,June,"Trade, Offshoring, and the Invisible Handshake","['Bilgehan Karabay', 'John McLaren']",w15048,['International Trade and Investment']
15035,15049,2009,June,"Information, Animal Spirits, and the Meaning of Innovations in Consumer Confidence","['Eric R Sims', 'Robert B Barsky']",w15049,"['Economic Fluctuations and Growth', 'Monetary Economics']"
15036,15050,2009,June,Do International Labor Standards Contribute to the Persistence of the Child Labor Problem?,"['Fabrizio Zilibotti', 'Matthias Doepke']",w15050,"['Economic Fluctuations and Growth', 'Political Economy']"
15037,15051,2009,June,Generalized Agency Problems,['Randall K Morck'],w15051,['Corporate Finance']
15038,15052,2009,June,The Japanese Bubble: A 'Heterogeneous' Approach,['Robert B Barsky'],w15052,"['Asset Pricing', 'Economic Fluctuations and Growth', 'Monetary Economics']"
15039,15053,2009,June,Integrated Political Strategy,['John M de Figueiredo'],w15053,"['Law and Economics', 'Political Economy']"
15040,15054,2009,June,Tax Policies for Low-Carbon Technologies,['Gilbert E Metcalf'],w15054,"['Environment and Energy Economics', 'Public Economics']"
15041,15055,2009,June,Labor-Market Regimes in U.S. Economic History,"['Joshua L Rosenbloom', 'William A Sundstrom']",w15055,['Development of the American Economy']
15042,15056,2009,June,Equilibrium effects of public goods: The impact of community water fluoridation on dentists,"['Katherine Ho', 'Matthew J Neidell']",w15056,"['Health Care', 'Health Economics', 'Industrial Organization', 'Labor Studies', 'Public Economics']"
15043,15057,2009,June,Measuring Discrimination in Education,"['Leigh L Linden', 'Rema Hanna']",w15057,"['Children', 'Economics of Education', 'Labor Studies']"
15044,15058,2009,June,"Bailouts, the Incentive to Manage Risk, and Financial Crises",['Stavros Panageas'],w15058,"['Asset Pricing', 'Corporate Finance']"
15045,15059,2009,June,Inequality Trends for Germany in the Last Two Decades: A Tale of Two Countries,"['Dirk Krueger', 'Mathias Sommer', 'Nichola Fuchs Schuendeln']",w15059,['Economic Fluctuations and Growth']
15046,15060,2009,June,Learning by Drilling: Inter-Firm Learning and Relationship Persistence in the Texas Oilpatch,['Ryan Kellogg'],w15060,"['Environment and Energy Economics', 'Industrial Organization', 'Productivity, Innovation, and Entrepreneurship']"
15047,15061,2009,June,Do Patent Pools Encourage Innovation? Evidence from the 19th-Century Sewing Machine Industry,"['Petra Moser', 'Ryan L Lampe']",w15061,"['Development of the American Economy', 'Law and Economics', 'Productivity, Innovation, and Entrepreneurship']"
15048,15062,2009,June,Crash Risk in Currency Markets,"['Adrien Verdelhan', 'Emmanuel Farhi', 'Romain Ranciere', 'Samuel Paul Fraiberger', 'Xavier Gabaix']",w15062,"['Asset Pricing', 'Economic Fluctuations and Growth', 'International Finance and Macroeconomics']"
15049,15063,2009,June,Reducing Foreclosures: No Easy Answers,"['Christopher L Foote', 'Kristopher S Gerardi', 'Lorenz Goette', 'Paul S Willen']",w15063,['Economic Fluctuations and Growth']
15050,15064,2009,June,Do Race and Fairness Matter in Generosity? Evidence from a Nationally Representative Charity Experiment,"['Christina M Fong', 'Erzo F P Luttmer']",w15064,"['Labor Studies', 'Public Economics', 'Political Economy']"
15051,15065,2009,June,Adoption Curves and Social Interactions,"['Steven N Durlauf', 'William A Brock']",w15065,"['Economic Fluctuations and Growth', 'Technical Working Papers']"
15052,15066,2009,June,"Schooling, Cognitive Skills, and the Latin American Growth Puzzle","['Eric A Hanushek', 'Ludger Woessmann']",w15066,"['Economics of Education', 'Economic Fluctuations and Growth', 'Labor Studies', 'Public Economics']"
15053,15067,2009,June,China's Land Market Auctions: Evidence of Corruption,"['Hongbin Cai', 'J Vernon Henderson', 'Qinghua Zhang']",w15067,['Public Economics']
15054,15068,2009,June,"The Quality of Medical Care, Behavioral Risk Factors, and Longevity Growth",['Frank R Lichtenberg'],w15068,"['Economic Fluctuations and Growth', 'Health Care']"
15055,15069,2009,June,Empirics of Strategic Interdependence: The Case of the Racial Tipping Point,['William Easterly'],w15069,['Political Economy']
15056,15070,2009,June,Is Social Security Part of the Social Safety Net?,"['Don Fullterton', 'Jeffrey R Brown', 'Julia Lynn Coronado']",w15070,"['Economics of Aging', 'Public Economics']"
15057,15071,2009,June,Optimal Taxation in Theory and Practice,"['Danny Yagan', 'Matthew C Weinzierl', 'N Gregory Mankiw']",w15071,"['Monetary Economics', 'Public Economics']"
15058,15072,2009,June,A Model of a Systemic Bank Run,['Harald Uhlig'],w15072,"['Asset Pricing', 'Economic Fluctuations and Growth', 'Monetary Economics']"
15059,15073,2009,June,Conceptual Revolutions in Twentieth-Century Art,['David W Galenson'],w15073,"['Economics of Education', 'Labor Studies']"
15060,15074,2009,June,Opting For Families: Recent Trends in the Fertility of Highly Educated Women,"['Bruce A Weinberg', 'Qingyan Shang']",w15074,"['Children', 'Labor Studies']"
15061,15075,2009,June,The (Mythical?) Housing Wealth Effect,"['Charles W Calormiris', 'Stanley D Longhofer', 'William Miles']",w15075,['Economic Fluctuations and Growth']
15062,15076,2009,June,The Equality Multiplier,"['Erling Barth', 'Karl O Moene']",w15076,['Labor Studies']
15063,15077,2009,June,Decomposing the U.S. External Returns Differential,"['Francis E Warnock', 'Stephanie E Curcuru', 'Tomas Dvorak']",w15077,['International Finance and Macroeconomics']
15064,15078,2009,June,Birth Cohort and the Black-White Achievement Gap: The Roles of Access and Health Soon After Birth,"['Bhashkar Mazumder', 'Jonathan Guryan', 'Kenneth Y Chay']",w15078,"['Children', 'Economics of Education', 'Health Care', 'Health Economics', 'Labor Studies', 'Public Economics']"
15065,15079,2009,June,"Extending Life Cycle Models of Optimal Portfolio Choice: Integrating Flexible Work, Endogenous Retirement, and Investment Decisions with Lifetime Payouts","['Jingjing Chai', 'Olivia S Mitchell', 'Raimond H Maurer', 'Wolfram J Horneff']",w15079,"['Economics of Aging', 'Labor Studies', 'Public Economics']"
15066,15080,2009,June,Inequality and Volatility Moderation in Russia: Evidence from Micro-Level Panel Data on Consumption and Income,"['Dmitriy Stolyarov', 'Klara Sabirianova Peter', 'Yuriy Gorodnichenko']",w15080,"['Economics of Education', 'Economic Fluctuations and Growth', 'Labor Studies']"
15067,15081,2009,June,The Economics of Renewable Energy,['Geoffrey Heal'],w15081,['Environment and Energy Economics']
15068,15082,2009,June,What Do Emissions Markets Deliver and to Whom? Evidence from Southern California's NOx Trading Program,"['Erin T Mansur', 'Meredith Fowlie', 'Stephen P Holland']",w15082,"['Environment and Energy Economics', 'Industrial Organization']"
15069,15083,2009,June,Land and Credit: A Study of the Political Economy of Banking in the United States in the Early 20th Century,"['Raghuram G Rajan', 'Rodney Ramcharan']",w15083,"['Corporate Finance', 'Development of the American Economy', 'Monetary Economics', 'Public Economics', 'Political Economy']"
15070,15084,2009,June,What Comes to Mind,"['Andrei Shleifer', 'Nicola Gennaioli']",w15084,"['Asset Pricing', 'Corporate Finance']"
15071,15085,2009,June,Censored Quantile Instrumental Variable Estimates of the Price Elasticity of Expenditure on Medical Care,['Amanda E Kowalski'],w15085,"['Economics of Aging', 'Health Care']"
15072,15086,2009,June,A Free Lunch in the Commons,"['Matthew J Kotchen', 'Stephen W Salant']",w15086,"['Environment and Energy Economics', 'Public Economics']"
15073,15087,2009,July,"Educational Choices, Subjective Expectations, and Credit Constraints","['Katja Kaufmann', 'Orazio P Attanasio']",w15087,['Economic Fluctuations and Growth']
15074,15088,2009,June,"State Capacity, Conflict and Development","['Timothy J Besley', 'Torsten Persson']",w15088,['Political Economy']
15075,15089,2009,June,Modern Medicine and the 20th Century Decline in Mortality: Evidence on the Impact of Sulfa Drugs,"['Adriana Lleras-Muney', 'Kimberly V Smith', 'Seema Jayachandran']",w15089,"['Development of the American Economy', 'Health Care', 'Health Economics']"
15076,15090,2009,June,Life at the top: the benefits of height,"['Angus S Deaton', 'Raksha Arora']",w15090,"['Economics of Aging', 'Health Care']"
15077,15091,2009,June,Do Multinationals or Domestic Firms Face Higher Effective Tax Rates?,"['Douglas A Shackelford', 'Kevin S Markle']",w15091,['Public Economics']
15078,15092,2009,June,Identification in Matching Games,['Jeremy T Fox'],w15092,"['Industrial Organization', 'Labor Studies', 'Technical Working Papers']"
15079,15093,2009,June,The Competitive Saving Motive: Evidence from Rising Sex Ratios and Savings Rates in China,"['Shang-Jin Wei', 'Xiaobo Zhang']",w15093,"['International Finance and Macroeconomics', 'Monetary Economics']"
15080,15094,2009,June,"The New Kaldor Facts: Ideas, Institutions, Population, and Human Capital","['Charles I Jones', 'Paul M Romer']",w15094,"['Economic Fluctuations and Growth', 'International Trade and Investment', 'Productivity, Innovation, and Entrepreneurship']"
15081,15095,2009,June,War and Relatedness,"['Enrico Spolaore', 'Romain Wacziarg']",w15095,['Political Economy']
15082,15096,2009,June,Food Prices and the Dynamics of Body Weight,"['Dana P Goldman', 'Darius N Lakdawalla', 'Yuhui Zheng']",w15096,['Health Economics']
15083,15097,2009,June,Skill Dispersion and Trade Flows,"['German Pupato', 'Giovanni Gallipoli', 'Matilde Bombardini']",w15097,['International Trade and Investment']
15084,15098,2009,June,Abortion and Crime: A Review,['Theodore J Joyce'],w15098,"['Children', 'Health Economics']"
15085,15099,2009,June,"Crime and Body Weight in the Nineteenth Century: Was there a Relationship between Brawn, Employment Opportunities and Crime?","['Gregory N Price', 'Howard Bodenhorn']",w15099,"['Development of the American Economy', 'Labor Studies']"
