,paper,year,month,title,author,code,prog
8000,8009,2000,November,The Uneasy Marriage of Export Incentives and the Income Tax,"['James R Hines, Jr', 'Mihir A Desai']",w08009,"['International Trade and Investment', 'Public Economics']"
8001,8010,2000,November,Macroeconomic Factors and Antidumping Filings: Evidence from Four Countries,"['Michael M Knetter', 'Thomas J Prusa']",w08010,['International Trade and Investment']
8002,8011,2000,November,The Impact of Capital Gains Taxes on Stock Price Reactions to S&P 500 Inclusion,"['Douglas A Shackelford', 'Jana Smith Raedy', 'Jennifer L Blouin']",w08011,"['Asset Pricing', 'Public Economics']"
8003,8012,2000,November,A Century of Purchasing-Power Parity,['Alan M Taylor'],w08012,"['Development of the American Economy', 'International Finance and Macroeconomics', 'International Trade and Investment']"
8004,8013,2000,November,Scale Economies and the Geographic Concentration of Industry,['Gordon H Hanson'],w08013,['International Trade and Investment']
8005,8014,2000,November,Are Profits Shared Across Borders? Evidence on International Rent Sharing,"['John W Budd', 'Matthew J Slaughter']",w08014,"['International Trade and Investment', 'Labor Studies']"
8006,8015,2000,November,Is Foreign Direct Investment a Channel of Knowledge Spillovers? Evidence from Japan's FDI in the United States,['Lee G Branstetter'],w08015,"['International Trade and Investment', 'Productivity, Innovation, and Entrepreneurship']"
8007,8016,2000,November,12 Million Salaried Workers Are Missing,['Daniel S Hamermesh'],w08016,['Labor Studies']
8008,8017,2000,November,The Effects of Business-to-Business E-Commerce on Transaction Costs,"['Luis Garicano', 'Steven N Kaplan']",w08017,"['Corporate Finance', 'Industrial Organization']"
8009,8018,2000,November,Retrospective vs. Prospective Analyses of School Inputs: The Case of Flip Charts in Kenya,"['Eric Zitzewitz', 'Michael R Kremer', 'Paul W Glewwe', 'Sylvie Moulin']",w08018,['Children']
8010,8019,2000,November,What's in a Grade? School Report Cards and House Prices,"['David N Figlio', 'Maurice E Lucas']",w08019,"['Children', 'Public Economics']"
8011,8020,2000,November,Managed Care and Technology Adoption in Health Care: Evidence from Magnetic Resonance Imaging,['Laurence C Baker'],w08020,"['Health Care', 'Productivity, Innovation, and Entrepreneurship']"
8012,8021,2000,November,How Elastic is the Firm's Demand for Health Insurance?,"['Jonathan Gruber', 'Michael Lettau']",w08021,"['Health Economics', 'Public Economics']"
8013,8022,2000,November,"Technological Change, the Labor Market and the Stock Market",['Rodolfo E Manuelli'],w08022,['Economic Fluctuations and Growth']
8014,8023,2000,December,Generalized Solow-Neutral Technical Progress and Postwar Economic Growth,"['Lawrence J Lau', 'Michael J Boskin']",w08023,['Economic Fluctuations and Growth']
8015,8024,2000,December,A Framework for Applied Dynamic Analysis in I.O.,['Ariel Pakes'],w08024,"['Industrial Organization', 'Productivity, Innovation, and Entrepreneurship']"
8016,8025,2000,December,Money and Inflation in the Euro Area: A Case for Monetary Indicators?,"['Lars E O Svensson', 'Stefan Gerlach']",w08025,['Monetary Economics']
8017,8026,2000,December,Games for Central Bankers: Markets v/s Politics in Public Policy Decisions,['Alessandra Casella'],w08026,['International Finance and Macroeconomics']
8018,8027,2000,December,Market Mechanisms for Policy Decisions: Tools for the European Union,['Alessandra Casella'],w08027,['International Finance and Macroeconomics']
8019,8028,2000,December,"Where did British Foreign Capital Go? Fundamentals, Failures and the Lucas Paradox: 1870-1913","['Jeffrey G Williamson', 'Michael A Clemens']",w08028,['Development of the American Economy']
8020,8029,2000,December,The Desirability of Commodity Taxation under Non-Linear Income Taxation and Heterogeneous Tastes,['Emmanuel Saez'],w08029,['Public Economics']
8021,8030,2000,December,An sS Model with Adverse Selection,"['Christopher L House', 'John V Leahy']",w08030,['Economic Fluctuations and Growth']
8022,8031,2000,December,The Middle Class Parent Penalty: Child Benefits in the U.S. Tax Code,"['David T Ellwood', 'Jeffrey B Liebman']",w08031,"['Economics of Aging', 'Labor Studies', 'Public Economics']"
8023,8032,2000,December,The Effects of 401(k) Plans on Household Wealth: Differences Across Earnings Groups,"['Eric M Engen', 'William G Gale']",w08032,"['Economics of Aging', 'Public Economics']"
8024,8033,2000,December,On the Japanese Economy and Japanese National Accounts,['Albert Ando'],w08033,['Economic Fluctuations and Growth']
8025,8034,2000,December,The Social Consequences of Housing,"['Bruce I Sacerdote', 'Edward L Glaeser']",w08034,"['Law and Economics', 'Public Economics']"
8026,8035,2000,December,The EMS Crisis in Retrospect,['Barry J Eichengreen'],w08035,['International Finance and Macroeconomics']
8027,8036,2000,December,Issue Unbundling via Citizens' Initiatives,"['Stephen Coate', 'Timothy J Besley']",w08036,['Public Economics']
8028,8037,2000,December,The Optimal Treatment of Tax Expenditures,['Emmanuel Saez'],w08037,['Public Economics']
8029,8038,2000,December,Firm Level Investment and R&D in France and the United States: A Comparison,"['Benoit Mulkay', 'Bronwyn H Hall', 'Jacques Mairesse']",w08038,"['Industrial Organization', 'Productivity, Innovation, and Entrepreneurship']"
8030,8039,2000,December,Style Investing,"['Andrei Shleifer', 'Nicholas C Barberis']",w08039,['Asset Pricing']
8031,8040,2000,December,The Welfare Cost of Business Cycles Revisited: Finite Lives and Cyclical Variation in Idiosyncratic Risk,"['Amir Yaron', 'Chris I Telmer', 'Kjetil Storesletten']",w08040,['Economic Fluctuations and Growth']
8032,8041,2000,December,Growth Economics and Reality,"['Steven N Durlauf', 'William A Brock']",w08041,['Economic Fluctuations and Growth']
8033,8042,2000,December,Consequences of Imbalanced Sex Ratios: Evidence from America's Second Generation,['Joshua D Angrist'],w08042,['Labor Studies']
8034,8043,2000,December,Closed and Open Economy Models of Business Cycles with Marked Up and Sticky Prices,"['Robert J Barro', 'Silvana Tenreyro']",w08043,"['Economic Fluctuations and Growth', 'International Finance and Macroeconomics']"
8035,8044,2000,December,European Financial Markets After EMU: A First Assessment,"['Ernst-Ludwig von Thadden', 'Francesco Giavazzi', 'Jean-Pierre Danthine']",w08044,['International Finance and Macroeconomics']
8036,8045,2000,December,Adverse Selection in Insurance Markets: Policyholder Evidence from the U.K. Annuity Market,"['Amy Finkelstein', 'James M Poterba']",w08045,"['Economics of Aging', 'Corporate Finance', 'Public Economics']"
8037,8046,2000,December,Industrial Groupings and Strategic FDI: Theory and Evidence,"['Bruce A Blonigen', 'Christopher J Ellis', 'Dietrich Fausten']",w08046,['International Trade and Investment']
8038,8047,2000,December,The Role of Interest Rates in Federal Reserve Policymaking,['Benjamin M Friedman'],w08047,['Monetary Economics']
8039,8048,2000,December,"Health Effects in a Model of Second-Best Environmental Taxation or Reconsidering ""Reconsidering the Tax-Interaction Effect""",['Roberton C Williams III'],w08048,['Public Economics']
8040,8049,2000,December,Environmental Tax Interactions When Pollution Affects Health or Productivity,['Roberton C Williams III'],w08049,['Public Economics']
8041,8050,2000,December,The Anatomy of Employee Involvement and Its Effects on Firms and Workers,"['Cheri Ostroff', 'Morris M Kleiner', 'Richard B Freeman']",w08050,['Labor Studies']
8042,8051,2000,December,The Incentive for Working Hard: Explaining Hours Worked Differences in the U.S. and Germany,"['Linda A Bell', 'Richard B Freeman']",w08051,['Labor Studies']
8043,8052,2000,December,Stock Options for Undiversified Executives,"['Brian J Hall', 'Kevin M Murphy']",w08052,"['Corporate Finance', 'Labor Studies']"
8044,8053,2000,December,Non-Market Interactions,"['Edward L Glaeser', 'Jose A Scheinkman']",w08053,['Economic Fluctuations and Growth']
8045,8054,2000,December,Longer Term Effects of Head Start,"['Duncan Thomas', 'Eliana Garces', 'Janet M Currie']",w08054,"['Children', 'Labor Studies']"
8046,8055,2000,December,School Choice and the Distributional Effects of Ability Tracking: Does Separation Increase Equality?,"['David N Figlio', 'Marianne E Page']",w08055,['Children']
8047,8056,2000,December,"Understanding Child Support Trends: Economic, Demographic, and Political Contributions","['Anne C Case', 'I-Fen Lin', 'Sara McLanahan']",w08056,['Children']
8048,8057,2000,December,Monetary Policy,['Benjamin M Friedman'],w08057,['Monetary Economics']
8049,8058,2000,December,Wages Around the World: Pay Across Occupations and Countries,"['Remco Oostendorp', 'Richard B Freeman']",w08058,['Labor Studies']
